policy_loss,value_loss,total_loss,policy_entropy,iteration,selfplay_games_seen,optimizer_updates,replay_size,positions_seen,update_in_iteration,selfplay_seconds,training_seconds,iteration_seconds,game_length,opening_unique_actions,opening_entropy,opening_corner_mass,opening_edge_mass
3.5851519107818604,0.9921320676803589,4.57728385925293,3.58286190032959,1,20,8,2288,2288,1,106.20335003400032,1.641733328000555,107.84519433599962,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.5807249546051025,1.0068377256393433,4.587562561035156,3.582947015762329,1,20,8,2288,2288,2,106.20335003400032,1.641733328000555,107.8452126659995,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.581362247467041,1.0094373226165771,4.590799331665039,3.582897186279297,1,20,8,2288,2288,3,106.20335003400032,1.641733328000555,107.84521963999941,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.5769405364990234,1.0108619928359985,4.587802410125732,3.5828726291656494,1,20,8,2288,2288,4,106.20335003400032,1.641733328000555,107.8452244830005,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.5740058422088623,0.969780445098877,4.54378604888916,3.582813024520874,1,20,8,2288,2288,5,106.20335003400032,1.641733328000555,107.84525367900096,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.573683261871338,0.9866870641708374,4.560370445251465,3.5826780796051025,1,20,8,2288,2288,6,106.20335003400032,1.641733328000555,107.84525947200018,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.567905902862549,0.9938607215881348,4.561766624450684,3.5826096534729004,1,20,8,2288,2288,7,106.20335003400032,1.641733328000555,107.8452630440006,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.568039655685425,0.9702082276344299,4.538248062133789,3.582500696182251,1,20,8,2288,2288,8,106.20335003400032,1.641733328000555,107.84526592600014,14.3,16,2.718473401330013,0.10399999395012856,0.535000005364418
3.5687668323516846,1.0144177675247192,4.583184719085693,3.582271099090576,2,40,16,4576,4576,1,87.42737352999939,0.816743272000167,88.24422904099993,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.5630364418029785,1.0195348262786865,4.582571029663086,3.5821712017059326,2,40,16,4576,4576,2,87.42737352999939,0.816743272000167,88.24424253799953,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.559893846511841,0.9918214082717896,4.55171537399292,3.5819530487060547,2,40,16,4576,4576,3,87.42737352999939,0.816743272000167,88.2442478310004,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.5555684566497803,0.9716331362724304,4.5272016525268555,3.581695079803467,2,40,16,4576,4576,4,87.42737352999939,0.816743272000167,88.2442512180005,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.5535483360290527,1.0281347036361694,4.581683158874512,3.5814967155456543,2,40,16,4576,4576,5,87.42737352999939,0.816743272000167,88.24425463499938,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.5542306900024414,0.9648652076721191,4.5190958976745605,3.581101894378662,2,40,16,4576,4576,6,87.42737352999939,0.816743272000167,88.24425805200008,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.5558691024780273,0.9975552558898926,4.55342435836792,3.5810275077819824,2,40,16,4576,4576,7,87.42737352999939,0.816743272000167,88.24426164099896,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.541048765182495,1.0225430727005005,4.563591957092285,3.5804266929626465,2,40,16,4576,4576,8,87.42737352999939,0.816743272000167,88.24426485699951,14.3,15,2.649158683274018,0.11699999608099461,0.5769999831914902
3.5490736961364746,0.9657538533210754,4.514827728271484,3.5801990032196045,3,60,24,6800,6800,1,93.74275715699878,0.7554374939991249,94.49835536499995,13.9,16,2.6923109941417858,0.09399999789893627,0.5509999841451645
3.548675537109375,0.9668326377868652,4.51550817489624,3.579920768737793,3,60,24,6800,6800,2,93.74275715699878,0.7554374939991249,94.4983657619996,13.9,16,2.6923109941417858,0.09399999789893627,0.5509999841451645
3.5512399673461914,0.9967609643936157,4.548000812530518,3.579892635345459,3,60,24,6800,6800,3,93.74275715699878,0.7554374939991249,94.49837033999938,13.9,16,2.6923109941417858,0.09399999789893627,0.5509999841451645
3.548305034637451,0.9930995106697083,4.541404724121094,3.5790393352508545,3,60,24,6800,6800,4,93.74275715699878,0.7554374939991249,94.49837365500025,13.9,16,2.6923109941417858,0.09399999789893627,0.5509999841451645
3.5441136360168457,0.9092833995819092,4.453396797180176,3.5791120529174805,3,60,24,6800,6800,5,93.74275715699878,0.7554374939991249,94.49837647999993,13.9,16,2.6923109941417858,0.09399999789893627,0.5509999841451645
